[2025-06-16 15:32:58] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:54:54] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:54:54] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:54:55] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:36] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:37] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:37] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:37] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:37] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:37] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:38] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:38] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:38] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 15:56:38] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:02] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:03] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:03] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:03] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:03] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:03] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:07] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:07] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:02:07] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:05:59] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:05:59] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:04] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:04] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:08] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:08] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:13] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:13] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:17] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:21] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:21] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:25] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:25] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:30] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:30] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:34] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:34] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:39] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:42] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:42] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:46] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:46] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:51] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:51] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:06:55] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:06:55] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 16:07:00] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:07:04] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 16:07:04] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:04:17] 问题: 找出2个孙悟空的师父 | 答案: ["唐僧","菩提老祖"] | 可信度: 91% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-16 17:04:21] 问题: 找出2个孙悟空的师父 | 答案: ["唐僧","菩提老祖"] | 可信度: 91% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-16 17:04:26] 问题: 以下谁是狮驼国国王？ | 答案: ["三大王"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:04:30] 问题: 定维任 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:30] 问题: 金刚球偷袭？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:34] 问题: 金刚球偷袭？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:34] 问题: 定维任 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:37] 问题: R | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:37] 问题: 特殊技能？ | 答案: ["吸血鬼"] | 可信度: 31% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-16 17:04:38] 问题: 科举殿试是谁主持进行的？ | 答案: ["李世民","玉皇大帝","阎罗王"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:04:42] 问题: 象形技能最可能是谁创造的？ | 答案: ["二大王"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:04:47] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:47] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:50] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:51] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:54] 问题: 找出2个人族主角 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:04:54] 问题: 使用降妖宝杖作为武器的是谁？ | 答案: ["沙和尚"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:04:55] 问题: 使用降妖宝杖作为武器的是谁？ | 答案: ["沙和尚"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:05:03] 问题: 瞌睡了但没有家该去找谁？ | 答案: ["酒店老板"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-16 17:05:03] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-16 17:05:03] 问题: 魏征在梦中斩了谁？ | 答案: ["泾河龙王"] | 可信度: 100% | 匹配类型: 精确匹配
